ID,Label,Interval,Division
1,Arizona D'Backs ,,3
2,Atlanta Braves ,,1
3,Baltimore Orioles ,,4
4,Boston Red Sox ,,4
5,Chicago Cubs ,,2
6,Chicago White Sox ,,5
7,Cincinnati Reds ,,2
8,Cleveland Indians ,,5
9,Colorado Rockies ,,3
10,Detroit Tigers ,,5
11,Houston Astros ,,6
12,Kansas City Royals ,,5
13,LA Angels of Anaheim ,,6
14,Los Angeles Dodgers ,,3
15,Miami Marlins ,,1
16,Milwaukee Brewers ,,2
17,Minnesota Twins ,,5
18,New York Mets ,,1
19,New York Yankees ,,4
20,Oakland Athletics ,,6
21,Philadelphia Phillies ,,1
22,Pittsburgh Pirates ,,2
23,San Diego Padres ,,3
24,San Francisco Giants ,,3
25,Seattle Mariners ,,6
26,St. Louis Cardinals ,,2
27,Tampa Bay Rays ,,4
28,Texas Rangers ,,6
29,Toronto Blue Jays ,,4
30,Washington Nationals ,,1
