HomeID,AwayID,RD,GP
16,1,-3.00000000,3
23,1,-7.66666667,3
15,2,1.00000000,3
18,2,3.00000000,4
21,2,-1.50000000,4
24,2,-3.00000000,2
4,3,1.00000000,4
8,3,5.50000000,2
22,3,-2.00000000,2
26,3,-0.66666667,3
10,4,-1.66666667,3
21,4,-1.00000000,2
9,5,2.75000000,4
15,5,-3.00000000,3
23,5,-2.50000000,2
26,5,-1.33333333,3
3,6,-1.75000000,4
2,7,1.66666667,3
14,7,3.66666667,3
26,7,-4.75000000,4
6,8,-1.33333333,3
14,8,-1.00000000,3
20,8,-8.00000000,1
1,9,-1.00000000,1
8,9,-7.50000000,2
24,9,-2.25000000,4
1,10,1.00000000,2
6,10,-7.33333333,3
13,10,1.66666667,3
27,10,-0.50000000,4
4,11,-1.33333333,3
13,11,3.00000000,3
28,11,-1.33333333,3
4,12,1.50000000,2
8,12,-1.00000000,3
11,12,1.25000000,4
12,13,0.50000000,4
17,13,1.00000000,4
19,13,-0.33333333,3
7,14,-2.66666667,3
18,14,-8.00000000,2
30,14,0.66666667,3
1,15,-1.25000000,4
20,15,-6.00000000,2
30,15,4.00000000,2
14,16,0.00000000,3
22,16,5.50000000,2
23,16,0.00000000,3
24,16,0.75000000,4
6,17,-2.00000000,1
8,17,5.00000000,4
25,17,-1.00000000,4
5,18,0.33333333,3
16,18,1.00000000,1
22,18,4.33333333,3
30,18,2.25000000,4
3,19,-10.00000000,3
4,19,-5.00000000,3
13,19,5.00000000,1
11,20,3.50000000,2
19,20,-1.50000000,4
29,20,-1.00000000,3
30,20,1.66666667,3
1,21,2.00000000,3
4,21,1.50000000,2
24,21,2.00000000,3
26,21,7.00000000,1
5,22,3.00000000,3
9,22,-1.33333333,3
15,22,2.00000000,4
7,23,-4.00000000,3
9,23,2.66666667,3
12,23,2.66666667,3
12,24,6.00000000,2
17,24,0.00000000,3
9,25,3.00000000,1
10,25,-2.50000000,2
17,25,-3.00000000,3
27,25,-7.00000000,3
29,25,1.33333333,3
14,26,-2.00000000,1
16,26,0.00000000,4
21,26,-3.00000000,3
6,27,-0.66666667,3
7,27,1.50000000,2
20,27,-1.50000000,4
11,28,4.00000000,3
18,28,-0.50000000,2
25,28,-2.66666667,3
29,28,-2.00000000,2
6,29,2.00000000,3
19,29,3.50000000,4
27,29,3.00000000,2
2,30,2.33333333,3
3,30,-5.00000000,1
28,30,3.33333333,3
