V1,V2,Weight,GP
1,6,2.333333333,3
1,8,4.666666667,3
1,9,-1.5,6
1,10,1,2
1,14,0.571428571,7
1,16,-0.75,4
1,18,2,3
1,22,1.142857143,7
1,23,2.6,10
1,24,-0.142857143,7
1,30,0,3
2,11,-3.5,2
2,13,-1.333333333,3
2,15,0.2,5
2,16,3,3
2,18,-1.375,8
2,21,-1.666666667,3
2,22,-1.714285714,7
2,23,3.25,4
2,24,-2.333333333,3
2,26,-4.666666667,3
2,29,0.75,4
2,30,-1.333333333,6
3,4,0.333333333,9
3,6,2.333333333,3
3,7,-1,3
3,10,0,3
3,11,-3,3
3,12,-1,3
3,17,-3.333333333,3
3,19,-0.888888889,9
3,27,0.666666667,3
3,29,1.555555556,9
3,30,0.666666667,3
4,3,-0.333333333,9
4,5,0.666666667,3
4,6,2.666666667,3
4,10,-0.75,4
4,16,-1.333333333,3
4,17,6.666666667,3
4,19,-2.5,2
4,20,-0.5,4
4,22,2,3
4,25,1.333333333,3
4,26,2,2
4,27,-1.142857143,7
4,28,4.666666667,3
4,29,0.333333333,3
5,4,-0.666666667,3
5,7,2.166666667,6
5,9,-0.666666667,3
5,14,-1.833333333,6
5,16,1.625,8
5,19,-2.333333333,3
5,21,-0.25,4
5,22,0.5,6
5,23,-2.666666667,3
5,24,1.5,4
5,26,-0.666666667,6
6,1,-2.333333333,3
6,3,-2.333333333,3
6,4,-2.666666667,3
6,8,0,6
6,10,2.222222222,9
6,12,2.857142857,7
6,13,-2.333333333,3
6,17,-1.25,8
6,19,-2.666666667,3
6,23,1.333333333,3
6,25,5.5,4
7,3,1,3
7,5,-2.166666667,6
7,8,1.333333333,3
7,9,-1.333333333,3
7,16,-3.857142857,7
7,19,-2,2
7,21,1.666666667,6
7,22,2.285714286,7
7,24,2.714285714,7
7,26,0.6,5
7,29,-6,3
8,1,-4.666666667,3
8,6,0,6
8,7,-1.333333333,3
8,10,-0.833333333,6
8,11,1.166666667,6
8,12,0.833333333,6
8,17,2.333333333,6
8,20,1.666666667,3
8,25,2.333333333,3
8,27,-1.333333333,3
8,28,2.333333333,3
8,29,1,3
9,1,1.5,6
9,5,0.666666667,3
9,7,1.333333333,3
9,14,-0.444444444,9
9,16,-0.25,4
9,17,2,3
9,21,4.25,4
9,23,-0.333333333,6
9,24,2.857142857,7
9,25,-4,3
9,26,3.666666667,3
9,30,-4.25,4
10,1,-1,2
10,3,0,3
10,4,0.75,4
10,6,-2.222222222,9
10,8,0.833333333,6
10,11,-0.75,4
10,12,1,3
10,13,-0.75,4
10,17,0.666666667,6
10,20,0.666666667,3
10,25,0.333333333,3
10,27,-4,3
10,28,0.333333333,3
11,2,3.5,2
11,3,3,3
11,8,-1.166666667,6
11,10,0.75,4
11,12,-2.333333333,3
11,13,1,7
11,15,6,3
11,17,8,3
11,19,0.75,4
11,20,3.6,5
11,25,0.714285714,7
11,27,0.666666667,3
11,28,2,4
12,3,1,3
12,6,-2.857142857,7
12,8,-0.833333333,6
12,10,-1,3
12,11,2.333333333,3
12,13,2.666666667,3
12,17,-2.875,8
12,19,-1.166666667,6
12,20,-1.666666667,3
12,24,0.5,2
12,27,0,4
12,28,-2.25,4
13,2,1.333333333,3
13,6,2.333333333,3
13,10,0.75,4
13,11,-1,7
13,12,-2.666666667,3
13,15,-2.333333333,3
13,18,0.666666667,3
13,20,0.6,10
13,25,-0.166666667,6
13,27,-0.5,4
13,28,-1,6
13,29,-0.75,4
14,1,-0.571428571,7
14,5,1.833333333,6
14,9,0.444444444,9
14,15,2.25,4
14,21,1.666666667,3
14,22,5,3
14,23,5.166666667,6
14,24,0.7,10
14,26,1.333333333,6
15,2,-0.2,5
15,11,-6,3
15,13,2.333333333,3
15,14,-2.25,4
15,18,1,10
15,20,-0.5,2
15,21,2.4,5
15,22,-2.333333333,3
15,23,1.666666667,3
15,25,-1.666666667,3
15,26,-2.666666667,3
15,27,-1,4
15,30,-1,3
16,1,0.75,4
16,2,-3,3
16,4,1.333333333,3
16,5,-1.625,8
16,7,3.857142857,7
16,9,0.25,4
16,18,2.5,6
16,22,-0.333333333,3
16,23,1.75,4
16,26,-0.571428571,7
16,29,-0.5,4
17,3,3.333333333,3
17,4,-6.666666667,3
17,6,1.25,8
17,8,-2.333333333,6
17,9,-2,3
17,10,-0.666666667,6
17,11,-8,3
17,12,2.875,8
17,20,2.666666667,3
17,27,-1,3
17,28,-1,3
18,1,-2,3
18,2,1.375,8
18,13,-0.666666667,3
18,15,-1,10
18,16,-2.5,6
18,21,1.166666667,6
18,22,3.666666667,3
18,23,1.333333333,3
18,24,1.666666667,3
18,30,-3.333333333,6
19,3,0.888888889,9
19,4,2.5,2
19,5,2.333333333,3
19,6,2.666666667,3
19,7,2,2
19,11,-0.75,4
19,12,1.166666667,6
19,20,0.666666667,3
19,22,0.666666667,3
19,26,2.666666667,3
19,27,0.666666667,9
19,29,0.666666667,3
20,4,0.5,4
20,8,-1.666666667,3
20,10,-0.666666667,3
20,11,-3.6,5
20,12,1.666666667,3
20,13,-0.6,10
20,15,0.5,2
20,17,-2.666666667,3
20,19,-0.666666667,3
20,25,-0.857142857,7
20,28,-1.111111111,9
21,2,1.666666667,3
21,5,0.25,4
21,7,-1.666666667,6
21,9,-4.25,4
21,14,-1.666666667,3
21,15,-2.4,5
21,18,-1.166666667,6
21,22,0.333333333,3
21,25,-3,2
21,28,-4.666666667,3
21,30,0.5,12
22,1,-1.142857143,7
22,2,1.714285714,7
22,4,-2,3
22,5,-0.5,6
22,7,-2.285714286,7
22,14,-5,3
22,15,2.333333333,3
22,16,0.333333333,3
22,18,-3.666666667,3
22,19,-0.666666667,3
22,21,-0.333333333,3
22,26,-1,3
22,30,2.333333333,3
23,1,-2.6,10
23,2,-3.25,4
23,5,2.666666667,3
23,6,-1.333333333,3
23,9,0.333333333,6
23,14,-5.166666667,6
23,15,-1.666666667,3
23,16,-1.75,4
23,18,-1.333333333,3
23,24,1.666666667,6
23,28,-2.75,4
23,30,-1.666666667,3
24,1,0.142857143,7
24,2,2.333333333,3
24,5,-1.5,4
24,7,-2.714285714,7
24,9,-2.857142857,7
24,12,-0.5,2
24,14,-0.7,10
24,18,-1.666666667,3
24,23,-1.666666667,6
24,26,-0.666666667,3
24,30,-2.666666667,3
25,4,-1.333333333,3
25,6,-5.5,4
25,8,-2.333333333,3
25,9,4,3
25,10,-0.333333333,3
25,11,-0.714285714,7
25,13,0.166666667,6
25,15,1.666666667,3
25,20,0.857142857,7
25,21,3,2
25,28,2,6
25,29,-3.75,4
25,30,-3.666666667,3
26,2,4.666666667,3
26,4,-2,2
26,5,0.666666667,6
26,7,-0.6,5
26,9,-3.666666667,3
26,14,-1.333333333,6
26,15,2.666666667,3
26,16,0.571428571,7
26,19,-2.666666667,3
26,22,1,3
26,24,0.666666667,3
26,29,1.666666667,3
26,30,-2.666666667,3
27,3,-0.666666667,3
27,4,1.142857143,7
27,8,1.333333333,3
27,10,4,3
27,11,-0.666666667,3
27,12,0,4
27,13,0.5,4
27,15,1,4
27,17,1,3
27,19,-0.666666667,9
27,28,0,3
27,29,0.3,10
28,4,-4.666666667,3
28,8,-2.333333333,3
28,10,-0.333333333,3
28,11,-2,4
28,12,2.25,4
28,13,1,6
28,17,1,3
28,20,1.111111111,9
28,21,4.666666667,3
28,23,2.75,4
28,25,-2,6
28,27,0,3
28,29,-0.333333333,3
29,2,-0.75,4
29,3,-1.555555556,9
29,4,-0.333333333,3
29,7,6,3
29,8,-1,3
29,13,0.75,4
29,16,0.5,4
29,19,-0.666666667,3
29,25,3.75,4
29,26,-1.666666667,3
29,27,-0.3,10
29,28,0.333333333,3
30,1,0,3
30,2,1.333333333,6
30,3,-0.666666667,3
30,9,4.25,4
30,15,1,3
30,18,3.333333333,6
30,21,-0.5,12
30,22,-2.333333333,3
30,23,1.666666667,3
30,24,2.666666667,3
30,25,3.666666667,3
30,26,2.666666667,3
